experiment_id,hypothesis,changed_variables,selected_on,data_hash,config_hash,calls,hits,accuracy,early_tuning_calls,early_tuning_hits,early_tuning_accuracy,late_tuning_calls,late_tuning_hits,late_tuning_accuracy,validation_calls,validation_hits,validation_accuracy,confirmation_calls,confirmation_hits,confirmation_accuracy,cap_distribution,rank_1_15_calls,rank_1_15_hits,rank_1_15_accuracy,rank_16_17_calls,rank_16_17_hits,rank_16_17_accuracy,rank_18_20_calls,rank_18_20_hits,rank_18_20_accuracy,down_calls,down_hits,down_precision,bootstrap_p10,bootstrap_p90,runtime_seconds,cache_status,cache_key,cache_generation,accepted,rejection_reason
phase0_reference_replay_v1,A provenance-keyed replay cache reproduces the reference,none; exact reference replay,existing non-locked reference,8f9fc27ae0a33f4a25d1241b7d896b56ba7515d4ad7e984999f0c5fe42b20d29,bbcbcb114f8f98f821490965842bf87ba32313da723d597fe66a4cf82a61953f,2545,1589,0.6243614931237721,552,350,0.6340579710144928,519,336,0.6473988439306358,675.0,395.0,0.5851851851851851,799.0,508.0,0.6357947434292867,"{""15"": 33, ""16"": 23, ""17"": 20, ""18"": 27, ""19"": 24, ""20"": 20}",2205,1392,0.6312925170068027,205,115,0.5609756097560976,135,82,0.6074074074074074,11,7,0.6363636363636364,0.5196869517543861,0.6361833827829377,1.078269800000271,miss_built,df365192814501580be8dcd7d2ee1a25331352cf2b59e98dd80d2b47502f268e,0081133d94974c5fb96a41cb9b8c02e5,True,
phase1_current_graduated_15_to_20,Current graduated breadth gate is the matched reference,graduated_15_to_20 low=0.52 high=0.68,tuning_120_179_only; validation_gate; confirmation_descriptive,8f9fc27ae0a33f4a25d1241b7d896b56ba7515d4ad7e984999f0c5fe42b20d29,bbcbcb114f8f98f821490965842bf87ba32313da723d597fe66a4cf82a61953f,2545,1589,0.6243614931237721,552,350,0.6340579710144928,519,336,0.6473988439306358,675.0,395.0,0.5851851851851851,799.0,508.0,0.6357947434292867,"{""15"": 33, ""16"": 23, ""17"": 20, ""18"": 27, ""19"": 24, ""20"": 20}",2205,1392,0.6312925170068027,205,115,0.5609756097560976,135,82,0.6074074074074074,11,7,0.6363636363636364,0.5196869517543861,0.6361833827829377,2.365735200000927,hit,df365192814501580be8dcd7d2ee1a25331352cf2b59e98dd80d2b47502f268e,0081133d94974c5fb96a41cb9b8c02e5,True,marginal_non_destructive
phase1_graduated_threshold_0p55_0p7,Bounded Tuning-only threshold candidate,"graduated_thresholds=(0.55, 0.7)",tuning_120_179_only,8f9fc27ae0a33f4a25d1241b7d896b56ba7515d4ad7e984999f0c5fe42b20d29,bbcbcb114f8f98f821490965842bf87ba32313da723d597fe66a4cf82a61953f,1014,650,0.6410256410256411,520,325,0.625,494,325,0.6578947368421053,,,,,,,"{""15"": 42, ""17"": 99, ""20"": 6}",900,588,0.6533333333333333,96,55,0.5729166666666666,18,7,0.3888888888888889,4,2,0.5,-0.7666666666666667,-0.4,1.6094684000017878,hit,df365192814501580be8dcd7d2ee1a25331352cf2b59e98dd80d2b47502f268e,0081133d94974c5fb96a41cb9b8c02e5,False,stable_tuning_gate|tuning_screen_selected_for_validation
phase1_graduated_threshold_0p6_0p7,Bounded Tuning-only threshold candidate,"graduated_thresholds=(0.6, 0.7)",tuning_120_179_only,8f9fc27ae0a33f4a25d1241b7d896b56ba7515d4ad7e984999f0c5fe42b20d29,bbcbcb114f8f98f821490965842bf87ba32313da723d597fe66a4cf82a61953f,998,637,0.6382765531062125,512,318,0.62109375,486,319,0.6563786008230452,,,,,,,"{""15"": 76, ""17"": 65, ""20"": 6}",900,588,0.6533333333333333,80,42,0.525,18,7,0.3888888888888889,4,2,0.5,-1.0166666666666666,-0.6,1.4825075999979165,hit,df365192814501580be8dcd7d2ee1a25331352cf2b59e98dd80d2b47502f268e,0081133d94974c5fb96a41cb9b8c02e5,False,stable_tuning_gate|not_selected_on_tuning
phase1_graduated_threshold_0p6_0p75,Bounded Tuning-only threshold candidate,"graduated_thresholds=(0.6, 0.75)",tuning_120_179_only,8f9fc27ae0a33f4a25d1241b7d896b56ba7515d4ad7e984999f0c5fe42b20d29,bbcbcb114f8f98f821490965842bf87ba32313da723d597fe66a4cf82a61953f,983,630,0.6408952187182095,503,315,0.6262425447316103,480,315,0.65625,,,,,,,"{""15"": 76, ""17"": 70, ""20"": 1}",900,588,0.6533333333333333,80,42,0.525,3,0,0.0,4,2,0.5,-1.1666666666666667,-0.7,1.459141200000886,hit,df365192814501580be8dcd7d2ee1a25331352cf2b59e98dd80d2b47502f268e,0081133d94974c5fb96a41cb9b8c02e5,False,stable_tuning_gate|not_selected_on_tuning
phase1_quality_gate_threshold_0p55_0p6,Bounded Tuning-only threshold candidate,"quality_gate_thresholds=(0.55, 0.6)",tuning_120_179_only,8f9fc27ae0a33f4a25d1241b7d896b56ba7515d4ad7e984999f0c5fe42b20d29,bbcbcb114f8f98f821490965842bf87ba32313da723d597fe66a4cf82a61953f,1068,685,0.6413857677902621,551,345,0.6261343012704175,517,340,0.6576402321083172,,,,,,,"{""15"": 75, ""17"": 33, ""20"": 39}",900,588,0.6533333333333333,78,50,0.6410256410256411,90,47,0.5222222222222223,4,2,0.5,-0.4,0.4333333333333333,1.4595277000007627,hit,df365192814501580be8dcd7d2ee1a25331352cf2b59e98dd80d2b47502f268e,0081133d94974c5fb96a41cb9b8c02e5,False,stable_tuning_gate|tuning_screen_selected_for_validation
phase1_quality_gate_threshold_0p575_0p625,Bounded Tuning-only threshold candidate,"quality_gate_thresholds=(0.575, 0.625)",tuning_120_179_only,8f9fc27ae0a33f4a25d1241b7d896b56ba7515d4ad7e984999f0c5fe42b20d29,bbcbcb114f8f98f821490965842bf87ba32313da723d597fe66a4cf82a61953f,1051,677,0.6441484300666033,542,342,0.6309963099630996,509,335,0.6581532416502947,,,,,,,"{""15"": 85, ""17"": 31, ""20"": 31}",900,588,0.6533333333333333,76,48,0.631578947368421,75,41,0.5466666666666666,4,2,0.5,-0.5166666666666667,0.3166666666666666,1.4881061000014597,hit,df365192814501580be8dcd7d2ee1a25331352cf2b59e98dd80d2b47502f268e,0081133d94974c5fb96a41cb9b8c02e5,False,stable_tuning_gate|not_selected_on_tuning
phase1_quality_gate_threshold_0p6_0p65,Bounded Tuning-only threshold candidate,"quality_gate_thresholds=(0.6, 0.65)",tuning_120_179_only,8f9fc27ae0a33f4a25d1241b7d896b56ba7515d4ad7e984999f0c5fe42b20d29,bbcbcb114f8f98f821490965842bf87ba32313da723d597fe66a4cf82a61953f,1019,654,0.6418056918547596,530,334,0.630188679245283,489,320,0.65439672801636,,,,,,,"{""15"": 93, ""17"": 33, ""20"": 21}",900,588,0.6533333333333333,68,41,0.6029411764705882,51,25,0.4901960784313725,4,2,0.5,-0.835,-0.1333333333333333,1.4458451999998942,hit,df365192814501580be8dcd7d2ee1a25331352cf2b59e98dd80d2b47502f268e,0081133d94974c5fb96a41cb9b8c02e5,False,stable_tuning_gate|not_selected_on_tuning
phase1_graduated_15_17_20,Graduated breadth thresholds improve marginal coverage,"thresholds=(0.55, 0.7)",tuning_120_179_only; validation_gate; confirmation_descriptive,8f9fc27ae0a33f4a25d1241b7d896b56ba7515d4ad7e984999f0c5fe42b20d29,bbcbcb114f8f98f821490965842bf87ba32313da723d597fe66a4cf82a61953f,2433,1520,0.6247431154952733,520,325,0.625,494,325,0.6578947368421053,650.0,379.0,0.583076923076923,769.0,491.0,0.6384915474642393,"{""15"": 42, ""17"": 99, ""20"": 6}",2205,1392,0.6312925170068027,210,121,0.5761904761904761,18,7,0.3888888888888889,11,7,0.6363636363636364,0.5226372549019609,0.6375588235294117,1.6094684000017878,hit,df365192814501580be8dcd7d2ee1a25331352cf2b59e98dd80d2b47502f268e,0081133d94974c5fb96a41cb9b8c02e5,False,stable_tuning_gate|validation_nonnegative|marginal_non_destructive|bootstrap_ok
phase1_expansion_quality_gate_15_17_20,Causal marginal-rank quality forecasts improve expansion,"thresholds=(0.55, 0.6)",tuning_120_179_only; validation_gate; confirmation_descriptive,8f9fc27ae0a33f4a25d1241b7d896b56ba7515d4ad7e984999f0c5fe42b20d29,bbcbcb114f8f98f821490965842bf87ba32313da723d597fe66a4cf82a61953f,2466,1537,0.6232765612327656,551,345,0.6261343012704175,517,340,0.6576402321083172,627.0,370.0,0.5901116427432217,771.0,482.0,0.6251621271076524,"{""15"": 75, ""17"": 33, ""20"": 39}",2205,1392,0.6312925170068027,144,86,0.5972222222222222,117,59,0.5042735042735043,11,7,0.6363636363636364,0.5289436274509803,0.6491568627450981,1.4595277000007627,hit,df365192814501580be8dcd7d2ee1a25331352cf2b59e98dd80d2b47502f268e,0081133d94974c5fb96a41cb9b8c02e5,False,stable_tuning_gate|validation_nonnegative|marginal_non_destructive|bootstrap_ok
